"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","BOP","TOT","PC_GDP","Q","2001-Q1",-2.38332,
"AUS","BOP","TOT","PC_GDP","Q","2001-Q2",-2.107348,
"AUS","BOP","TOT","PC_GDP","Q","2001-Q3",-1.737449,
"AUS","BOP","TOT","PC_GDP","Q","2001-Q4",-2.779747,
"AUS","BOP","TOT","PC_GDP","Q","2002-Q1",-2.674527,
"AUS","BOP","TOT","PC_GDP","Q","2002-Q2",-3.5895,
"AUS","BOP","TOT","PC_GDP","Q","2002-Q3",-3.929958,
"AUS","BOP","TOT","PC_GDP","Q","2002-Q4",-5.01092,
"AUS","BOP","TOT","PC_GDP","Q","2003-Q1",-4.989077,
"AUS","BOP","TOT","PC_GDP","Q","2003-Q2",-5.641403,
"AUS","BOP","TOT","PC_GDP","Q","2003-Q3",-5.387099,
"AUS","BOP","TOT","PC_GDP","Q","2003-Q4",-5.401633,
"AUS","BOP","TOT","PC_GDP","Q","2004-Q1",-5.711712,
"AUS","BOP","TOT","PC_GDP","Q","2004-Q2",-5.588506,
"AUS","BOP","TOT","PC_GDP","Q","2004-Q3",-6.693692,
"AUS","BOP","TOT","PC_GDP","Q","2004-Q4",-7.281724,
"AUS","BOP","TOT","PC_GDP","Q","2005-Q1",-6.605411,
"AUS","BOP","TOT","PC_GDP","Q","2005-Q2",-5.766099,
"AUS","BOP","TOT","PC_GDP","Q","2005-Q3",-5.692551,
"AUS","BOP","TOT","PC_GDP","Q","2005-Q4",-5.767478,
"AUS","BOP","TOT","PC_GDP","Q","2006-Q1",-5.642167,
"AUS","BOP","TOT","PC_GDP","Q","2006-Q2",-6.129319,
"AUS","BOP","TOT","PC_GDP","Q","2006-Q3",-5.554283,
"AUS","BOP","TOT","PC_GDP","Q","2006-Q4",-6.170694,
"AUS","BOP","TOT","PC_GDP","Q","2007-Q1",-6.35427,
"AUS","BOP","TOT","PC_GDP","Q","2007-Q2",-6.594852,
"AUS","BOP","TOT","PC_GDP","Q","2007-Q3",-6.755949,
"AUS","BOP","TOT","PC_GDP","Q","2007-Q4",-7.18093,
"AUS","BOP","TOT","PC_GDP","Q","2008-Q1",-6.993729,
"AUS","BOP","TOT","PC_GDP","Q","2008-Q2",-5.680723,
"AUS","BOP","TOT","PC_GDP","Q","2008-Q3",-3.720865,
"AUS","BOP","TOT","PC_GDP","Q","2008-Q4",-2.746668,
"AUS","BOP","TOT","PC_GDP","Q","2009-Q1",-1.801776,
"AUS","BOP","TOT","PC_GDP","Q","2009-Q2",-5.038197,
"AUS","BOP","TOT","PC_GDP","Q","2009-Q3",-5.288517,
"AUS","BOP","TOT","PC_GDP","Q","2009-Q4",-6.534629,
"AUS","BOP","TOT","PC_GDP","Q","2010-Q1",-5.67671,
"AUS","BOP","TOT","PC_GDP","Q","2010-Q2",-2.751292,
"AUS","BOP","TOT","PC_GDP","Q","2010-Q3",-2.937917,
"AUS","BOP","TOT","PC_GDP","Q","2010-Q4",-3.36341,
"AUS","BOP","TOT","PC_GDP","Q","2011-Q1",-3.546473,
"AUS","BOP","TOT","PC_GDP","Q","2011-Q2",-3.018026,
"AUS","BOP","TOT","PC_GDP","Q","2011-Q3",-2.542667,
"AUS","BOP","TOT","PC_GDP","Q","2011-Q4",-3.237937,
"AUS","BOP","TOT","PC_GDP","Q","2012-Q1",-4.583288,
"AUS","BOP","TOT","PC_GDP","Q","2012-Q2",-3.572673,
"AUS","BOP","TOT","PC_GDP","Q","2012-Q3",-4.258313,
"AUS","BOP","TOT","PC_GDP","Q","2012-Q4",-4.796949,
"AUS","BOP","TOT","PC_GDP","Q","2013-Q1",-3.299184,
"AUS","BOP","TOT","PC_GDP","Q","2013-Q2",-3.448808,
"AUS","BOP","TOT","PC_GDP","Q","2013-Q3",-3.733458,
"AUS","BOP","TOT","PC_GDP","Q","2013-Q4",-3.069004,
"AUS","BOP","TOT","PC_GDP","Q","2014-Q1",-2.496415,
"AUS","BOP","TOT","PC_GDP","Q","2014-Q2",-3.245026,
"AUS","BOP","TOT","PC_GDP","Q","2014-Q3",-3.468813,
"AUS","BOP","TOT","PC_GDP","Q","2014-Q4",-3.079381,
"AUS","BOP","TOT","PC_GDP","Q","2015-Q1",-3.235389,
"AUS","BOP","TOT","PC_GDP","Q","2015-Q2",-5.091081,
"AUS","BOP","TOT","PC_GDP","Q","2015-Q3",-4.925762,
"AUS","BOP","TOT","PC_GDP","Q","2015-Q4",-5.4814,
"AUS","BOP","TOT","PC_GDP","Q","2016-Q1",-3.75806,
"AUS","BOP","TOT","PC_GDP","Q","2016-Q2",-3.867384,
"AUS","BOP","TOT","PC_GDP","Q","2016-Q3",-3.408604,
"AUS","BOP","TOT","PC_GDP","Q","2016-Q4",-1.415474,
"AUS","BOP","TOT","PC_GDP","Q","2017-Q1",-1.622686,
"AUS","BOP","TOT","PC_GDP","Q","2017-Q2",-2.409571,
"AUS","BOP","TOT","PC_GDP","Q","2017-Q3",-2.588593,
"AUS","BOP","TOT","PC_GDP","Q","2017-Q4",-3.227063,
"AUS","BOP","TOT","PC_GDP","Q","2018-Q1",-2.255307,
"AUT","BOP","TOT","PC_GDP","Q","2001-Q1",-2.116933,
"AUT","BOP","TOT","PC_GDP","Q","2001-Q2",-1.086746,
"AUT","BOP","TOT","PC_GDP","Q","2001-Q3",0.3137876,
"AUT","BOP","TOT","PC_GDP","Q","2001-Q4",-0.3061917,
"AUT","BOP","TOT","PC_GDP","Q","2002-Q1",2.903669,
"AUT","BOP","TOT","PC_GDP","Q","2002-Q2",1.384642,
"AUT","BOP","TOT","PC_GDP","Q","2002-Q3",2.418973,
"AUT","BOP","TOT","PC_GDP","Q","2002-Q4",1.714645,
"AUT","BOP","TOT","PC_GDP","Q","2003-Q1",1.520738,
"AUT","BOP","TOT","PC_GDP","Q","2003-Q2",1.459089,
"AUT","BOP","TOT","PC_GDP","Q","2003-Q3",1.506388,
"AUT","BOP","TOT","PC_GDP","Q","2003-Q4",1.696816,
"AUT","BOP","TOT","PC_GDP","Q","2004-Q1",2.619554,
"AUT","BOP","TOT","PC_GDP","Q","2004-Q2",3.172297,
"AUT","BOP","TOT","PC_GDP","Q","2004-Q3",2.045295,
"AUT","BOP","TOT","PC_GDP","Q","2004-Q4",0.5093651,
"AUT","BOP","TOT","PC_GDP","Q","2005-Q1",3.377838,
"AUT","BOP","TOT","PC_GDP","Q","2005-Q2",1.492009,
"AUT","BOP","TOT","PC_GDP","Q","2005-Q3",1.596928,
"AUT","BOP","TOT","PC_GDP","Q","2005-Q4",2.588692,
"AUT","BOP","TOT","PC_GDP","Q","2006-Q1",2.655689,
"AUT","BOP","TOT","PC_GDP","Q","2006-Q2",2.858441,
"AUT","BOP","TOT","PC_GDP","Q","2006-Q3",2.992471,
"AUT","BOP","TOT","PC_GDP","Q","2006-Q4",4.602996,
"AUT","BOP","TOT","PC_GDP","Q","2007-Q1",3.691212,
"AUT","BOP","TOT","PC_GDP","Q","2007-Q2",4.466022,
"AUT","BOP","TOT","PC_GDP","Q","2007-Q3",3.765706,
"AUT","BOP","TOT","PC_GDP","Q","2007-Q4",3.28129,
"AUT","BOP","TOT","PC_GDP","Q","2008-Q1",6.255812,
"AUT","BOP","TOT","PC_GDP","Q","2008-Q2",3.667851,
"AUT","BOP","TOT","PC_GDP","Q","2008-Q3",5.110704,
"AUT","BOP","TOT","PC_GDP","Q","2008-Q4",2.974416,
"AUT","BOP","TOT","PC_GDP","Q","2009-Q1",2.844239,
"AUT","BOP","TOT","PC_GDP","Q","2009-Q2",2.475724,
"AUT","BOP","TOT","PC_GDP","Q","2009-Q3",2.585149,
"AUT","BOP","TOT","PC_GDP","Q","2009-Q4",2.485961,
"AUT","BOP","TOT","PC_GDP","Q","2010-Q1",3.867131,
"AUT","BOP","TOT","PC_GDP","Q","2010-Q2",2.817418,
"AUT","BOP","TOT","PC_GDP","Q","2010-Q3",2.793621,
"AUT","BOP","TOT","PC_GDP","Q","2010-Q4",1.979693,
"AUT","BOP","TOT","PC_GDP","Q","2011-Q1",1.492673,
"AUT","BOP","TOT","PC_GDP","Q","2011-Q2",1.778199,
"AUT","BOP","TOT","PC_GDP","Q","2011-Q3",0.3473985,
"AUT","BOP","TOT","PC_GDP","Q","2011-Q4",2.897762,
"AUT","BOP","TOT","PC_GDP","Q","2012-Q1",0.8563055,
"AUT","BOP","TOT","PC_GDP","Q","2012-Q2",1.822861,
"AUT","BOP","TOT","PC_GDP","Q","2012-Q3",2.353538,
"AUT","BOP","TOT","PC_GDP","Q","2012-Q4",0.9011241,
"AUT","BOP","TOT","PC_GDP","Q","2013-Q1",3.24365,
"AUT","BOP","TOT","PC_GDP","Q","2013-Q2",1.923526,
"AUT","BOP","TOT","PC_GDP","Q","2013-Q3",1.360091,
"AUT","BOP","TOT","PC_GDP","Q","2013-Q4",1.262395,
"AUT","BOP","TOT","PC_GDP","Q","2014-Q1",0.2563471,
"AUT","BOP","TOT","PC_GDP","Q","2014-Q2",1.97332,
"AUT","BOP","TOT","PC_GDP","Q","2014-Q3",2.156928,
"AUT","BOP","TOT","PC_GDP","Q","2014-Q4",5.447072,
"AUT","BOP","TOT","PC_GDP","Q","2015-Q1",2.465348,
"AUT","BOP","TOT","PC_GDP","Q","2015-Q2",2.055791,
"AUT","BOP","TOT","PC_GDP","Q","2015-Q3",1.656318,
"AUT","BOP","TOT","PC_GDP","Q","2015-Q4",1.527097,
"AUT","BOP","TOT","PC_GDP","Q","2016-Q1",3.524424,
"AUT","BOP","TOT","PC_GDP","Q","2016-Q2",2.150697,
"AUT","BOP","TOT","PC_GDP","Q","2016-Q3",2.028052,
"AUT","BOP","TOT","PC_GDP","Q","2016-Q4",0.8199008,
"AUT","BOP","TOT","PC_GDP","Q","2017-Q1",1.304878,
"AUT","BOP","TOT","PC_GDP","Q","2017-Q2",1.884423,
"AUT","BOP","TOT","PC_GDP","Q","2017-Q3",2.171307,
"AUT","BOP","TOT","PC_GDP","Q","2017-Q4",2.140699,
"AUT","BOP","TOT","PC_GDP","Q","2018-Q1",2.627677,
"BEL","BOP","TOT","PC_GDP","Q","2003-Q1",2.444165,
"BEL","BOP","TOT","PC_GDP","Q","2003-Q2",4.466974,
"BEL","BOP","TOT","PC_GDP","Q","2003-Q3",2.878038,
"BEL","BOP","TOT","PC_GDP","Q","2003-Q4",4.304317,
"BEL","BOP","TOT","PC_GDP","Q","2004-Q1",3.325864,
"BEL","BOP","TOT","PC_GDP","Q","2004-Q2",2.715349,
"BEL","BOP","TOT","PC_GDP","Q","2004-Q3",3.147005,
"BEL","BOP","TOT","PC_GDP","Q","2004-Q4",3.875669,
"BEL","BOP","TOT","PC_GDP","Q","2005-Q1",2.908351,
"BEL","BOP","TOT","PC_GDP","Q","2005-Q2",3.166335,
"BEL","BOP","TOT","PC_GDP","Q","2005-Q3",1.142821,
"BEL","BOP","TOT","PC_GDP","Q","2005-Q4",1.162762,
"BEL","BOP","TOT","PC_GDP","Q","2006-Q1",0.9902978,
"BEL","BOP","TOT","PC_GDP","Q","2006-Q2",0.5343136,
"BEL","BOP","TOT","PC_GDP","Q","2006-Q3",2.519919,
"BEL","BOP","TOT","PC_GDP","Q","2006-Q4",3.566477,
"BEL","BOP","TOT","PC_GDP","Q","2007-Q1",3.971546,
"BEL","BOP","TOT","PC_GDP","Q","2007-Q2",2.877016,
"BEL","BOP","TOT","PC_GDP","Q","2007-Q3",1.486009,
"BEL","BOP","TOT","PC_GDP","Q","2007-Q4",-0.4758177,
"BEL","BOP","TOT","PC_GDP","Q","2008-Q1",7.086678,
"BEL","BOP","TOT","PC_GDP","Q","2008-Q2",-2.181741,
"BEL","BOP","TOT","PC_GDP","Q","2008-Q3",-4.344024,
"BEL","BOP","TOT","PC_GDP","Q","2008-Q4",-4.560641,
"BEL","BOP","TOT","PC_GDP","Q","2009-Q1",-2.331312,
"BEL","BOP","TOT","PC_GDP","Q","2009-Q2",-1.724309,
"BEL","BOP","TOT","PC_GDP","Q","2009-Q3",-0.9661157,
"BEL","BOP","TOT","PC_GDP","Q","2009-Q4",0.6735537,
"BEL","BOP","TOT","PC_GDP","Q","2010-Q1",0.09005503,
"BEL","BOP","TOT","PC_GDP","Q","2010-Q2",2.26767,
"BEL","BOP","TOT","PC_GDP","Q","2010-Q3",3.597229,
"BEL","BOP","TOT","PC_GDP","Q","2010-Q4",1.056797,
"BEL","BOP","TOT","PC_GDP","Q","2011-Q1",-0.3936549,
"BEL","BOP","TOT","PC_GDP","Q","2011-Q2",-0.8786224,
"BEL","BOP","TOT","PC_GDP","Q","2011-Q3",-1.963362,
"BEL","BOP","TOT","PC_GDP","Q","2011-Q4",-1.047601,
"BEL","BOP","TOT","PC_GDP","Q","2012-Q1",0.8849973,
"BEL","BOP","TOT","PC_GDP","Q","2012-Q2",1.306629,
"BEL","BOP","TOT","PC_GDP","Q","2012-Q3",-0.441366,
"BEL","BOP","TOT","PC_GDP","Q","2012-Q4",-1.957748,
"BEL","BOP","TOT","PC_GDP","Q","2013-Q1",-1.776886,
"BEL","BOP","TOT","PC_GDP","Q","2013-Q2",-1.65906,
"BEL","BOP","TOT","PC_GDP","Q","2013-Q3",1.483809,
"BEL","BOP","TOT","PC_GDP","Q","2013-Q4",0.6536216,
"BEL","BOP","TOT","PC_GDP","Q","2014-Q1",-0.4543629,
"BEL","BOP","TOT","PC_GDP","Q","2014-Q2",-0.161216,
"BEL","BOP","TOT","PC_GDP","Q","2014-Q3",-2.672365,
"BEL","BOP","TOT","PC_GDP","Q","2014-Q4",-0.1847241,
"BEL","BOP","TOT","PC_GDP","Q","2015-Q1",-2.629191,
"BEL","BOP","TOT","PC_GDP","Q","2015-Q2",0.4472046,
"BEL","BOP","TOT","PC_GDP","Q","2015-Q3",0.740958,
"BEL","BOP","TOT","PC_GDP","Q","2015-Q4",0.8303305,
"BEL","BOP","TOT","PC_GDP","Q","2016-Q1",2.283145,
"BEL","BOP","TOT","PC_GDP","Q","2016-Q2",-0.01047305,
"BEL","BOP","TOT","PC_GDP","Q","2016-Q3",-0.5568013,
"BEL","BOP","TOT","PC_GDP","Q","2016-Q4",-1.269039,
"BEL","BOP","TOT","PC_GDP","Q","2017-Q1",-0.504235,
"BEL","BOP","TOT","PC_GDP","Q","2017-Q2",-0.9460279,
"BEL","BOP","TOT","PC_GDP","Q","2017-Q3",0.6185422,
"BEL","BOP","TOT","PC_GDP","Q","2017-Q4",0.1678474,
"BEL","BOP","TOT","PC_GDP","Q","2018-Q1",0.7437201,
"CAN","BOP","TOT","PC_GDP","Q","2001-Q1",3.638782,
"CAN","BOP","TOT","PC_GDP","Q","2001-Q2",2.460908,
"CAN","BOP","TOT","PC_GDP","Q","2001-Q3",1.351185,
"CAN","BOP","TOT","PC_GDP","Q","2001-Q4",1.049378,
"CAN","BOP","TOT","PC_GDP","Q","2002-Q1",2.368422,
"CAN","BOP","TOT","PC_GDP","Q","2002-Q2",1.764809,
"CAN","BOP","TOT","PC_GDP","Q","2002-Q3",1.329102,
"CAN","BOP","TOT","PC_GDP","Q","2002-Q4",1.181177,
"CAN","BOP","TOT","PC_GDP","Q","2003-Q1",1.063198,
"CAN","BOP","TOT","PC_GDP","Q","2003-Q2",0.2137355,
"CAN","BOP","TOT","PC_GDP","Q","2003-Q3",1.584177,
"CAN","BOP","TOT","PC_GDP","Q","2003-Q4",1.684348,
"CAN","BOP","TOT","PC_GDP","Q","2004-Q1",2.026186,
"CAN","BOP","TOT","PC_GDP","Q","2004-Q2",2.637464,
"CAN","BOP","TOT","PC_GDP","Q","2004-Q3",2.274765,
"CAN","BOP","TOT","PC_GDP","Q","2004-Q4",2.140433,
"CAN","BOP","TOT","PC_GDP","Q","2005-Q1",0.8164452,
"CAN","BOP","TOT","PC_GDP","Q","2005-Q2",1.002819,
"CAN","BOP","TOT","PC_GDP","Q","2005-Q3",2.132484,
"CAN","BOP","TOT","PC_GDP","Q","2005-Q4",3.339213,
"CAN","BOP","TOT","PC_GDP","Q","2006-Q1",1.770944,
"CAN","BOP","TOT","PC_GDP","Q","2006-Q2",1.137036,
"CAN","BOP","TOT","PC_GDP","Q","2006-Q3",1.247708,
"CAN","BOP","TOT","PC_GDP","Q","2006-Q4",1.313908,
"CAN","BOP","TOT","PC_GDP","Q","2007-Q1",0.9420463,
"CAN","BOP","TOT","PC_GDP","Q","2007-Q2",1.416968,
"CAN","BOP","TOT","PC_GDP","Q","2007-Q3",0.2263619,
"CAN","BOP","TOT","PC_GDP","Q","2007-Q4",0.4585414,
"CAN","BOP","TOT","PC_GDP","Q","2008-Q1",0.8515943,
"CAN","BOP","TOT","PC_GDP","Q","2008-Q2",1.255397,
"CAN","BOP","TOT","PC_GDP","Q","2008-Q3",0.9209502,
"CAN","BOP","TOT","PC_GDP","Q","2008-Q4",-2.721493,
"CAN","BOP","TOT","PC_GDP","Q","2009-Q1",-2.786284,
"CAN","BOP","TOT","PC_GDP","Q","2009-Q2",-2.879351,
"CAN","BOP","TOT","PC_GDP","Q","2009-Q3",-3.358134,
"CAN","BOP","TOT","PC_GDP","Q","2009-Q4",-2.767516,
"CAN","BOP","TOT","PC_GDP","Q","2010-Q1",-3.295253,
"CAN","BOP","TOT","PC_GDP","Q","2010-Q2",-3.570978,
"CAN","BOP","TOT","PC_GDP","Q","2010-Q3",-4.862389,
"CAN","BOP","TOT","PC_GDP","Q","2010-Q4",-2.725658,
"CAN","BOP","TOT","PC_GDP","Q","2011-Q1",-3.144235,
"CAN","BOP","TOT","PC_GDP","Q","2011-Q2",-3.188581,
"CAN","BOP","TOT","PC_GDP","Q","2011-Q3",-2.282443,
"CAN","BOP","TOT","PC_GDP","Q","2011-Q4",-2.497175,
"CAN","BOP","TOT","PC_GDP","Q","2012-Q1",-2.981135,
"CAN","BOP","TOT","PC_GDP","Q","2012-Q2",-3.883551,
"CAN","BOP","TOT","PC_GDP","Q","2012-Q3",-3.840577,
"CAN","BOP","TOT","PC_GDP","Q","2012-Q4",-3.703422,
"CAN","BOP","TOT","PC_GDP","Q","2013-Q1",-3.29506,
"CAN","BOP","TOT","PC_GDP","Q","2013-Q2",-3.385472,
"CAN","BOP","TOT","PC_GDP","Q","2013-Q3",-3.021662,
"CAN","BOP","TOT","PC_GDP","Q","2013-Q4",-3.186107,
"CAN","BOP","TOT","PC_GDP","Q","2014-Q1",-2.487935,
"CAN","BOP","TOT","PC_GDP","Q","2014-Q2",-2.14631,
"CAN","BOP","TOT","PC_GDP","Q","2014-Q3",-1.973955,
"CAN","BOP","TOT","PC_GDP","Q","2014-Q4",-2.993661,
"CAN","BOP","TOT","PC_GDP","Q","2015-Q1",-4.01414,
"CAN","BOP","TOT","PC_GDP","Q","2015-Q2",-3.508105,
"CAN","BOP","TOT","PC_GDP","Q","2015-Q3",-3.202105,
"CAN","BOP","TOT","PC_GDP","Q","2015-Q4",-3.620965,
"CAN","BOP","TOT","PC_GDP","Q","2016-Q1",-3.718334,
"CAN","BOP","TOT","PC_GDP","Q","2016-Q2",-3.659372,
"CAN","BOP","TOT","PC_GDP","Q","2016-Q3",-3.334109,
"CAN","BOP","TOT","PC_GDP","Q","2016-Q4",-2.168652,
"CAN","BOP","TOT","PC_GDP","Q","2017-Q1",-2.641584,
"CAN","BOP","TOT","PC_GDP","Q","2017-Q2",-2.785219,
"CAN","BOP","TOT","PC_GDP","Q","2017-Q3",-3.339263,
"CAN","BOP","TOT","PC_GDP","Q","2017-Q4",-3.024261,
"CAN","BOP","TOT","PC_GDP","Q","2018-Q1",-3.553637,
"CZE","BOP","TOT","PC_GDP","Q","2001-Q1",-6.443645,
"CZE","BOP","TOT","PC_GDP","Q","2001-Q2",-6.124108,
"CZE","BOP","TOT","PC_GDP","Q","2001-Q3",-4.648296,
"CZE","BOP","TOT","PC_GDP","Q","2001-Q4",-2.297995,
"CZE","BOP","TOT","PC_GDP","Q","2002-Q1",-5.314162,
"CZE","BOP","TOT","PC_GDP","Q","2002-Q2",-4.85253,
"CZE","BOP","TOT","PC_GDP","Q","2002-Q3",-5.65672,
"CZE","BOP","TOT","PC_GDP","Q","2002-Q4",-4.530256,
"CZE","BOP","TOT","PC_GDP","Q","2003-Q1",-3.518728,
"CZE","BOP","TOT","PC_GDP","Q","2003-Q2",-6.325306,
"CZE","BOP","TOT","PC_GDP","Q","2003-Q3",-6.001703,
"CZE","BOP","TOT","PC_GDP","Q","2003-Q4",-6.970539,
"CZE","BOP","TOT","PC_GDP","Q","2004-Q1",-4.176153,
"CZE","BOP","TOT","PC_GDP","Q","2004-Q2",-4.743336,
"CZE","BOP","TOT","PC_GDP","Q","2004-Q3",-5.334558,
"CZE","BOP","TOT","PC_GDP","Q","2004-Q4",-0.8679603,
"CZE","BOP","TOT","PC_GDP","Q","2005-Q1",-2.750999,
"CZE","BOP","TOT","PC_GDP","Q","2005-Q2",-3.366029,
"CZE","BOP","TOT","PC_GDP","Q","2005-Q3",-1.965099,
"CZE","BOP","TOT","PC_GDP","Q","2005-Q4",-0.4177617,
"CZE","BOP","TOT","PC_GDP","Q","2006-Q1",-1.40653,
"CZE","BOP","TOT","PC_GDP","Q","2006-Q2",-3.400168,
"CZE","BOP","TOT","PC_GDP","Q","2006-Q3",-1.941724,
"CZE","BOP","TOT","PC_GDP","Q","2006-Q4",-3.075492,
"CZE","BOP","TOT","PC_GDP","Q","2007-Q1",-3.722833,
"CZE","BOP","TOT","PC_GDP","Q","2007-Q2",-4.874691,
"CZE","BOP","TOT","PC_GDP","Q","2007-Q3",-5.795633,
"CZE","BOP","TOT","PC_GDP","Q","2007-Q4",-4.035291,
"CZE","BOP","TOT","PC_GDP","Q","2008-Q1",-1.515103,
"CZE","BOP","TOT","PC_GDP","Q","2008-Q2",-3.672846,
"CZE","BOP","TOT","PC_GDP","Q","2008-Q3",0.05762437,
"CZE","BOP","TOT","PC_GDP","Q","2008-Q4",-2.37831,
"CZE","BOP","TOT","PC_GDP","Q","2009-Q1",-3.399523,
"CZE","BOP","TOT","PC_GDP","Q","2009-Q2",-3.664917,
"CZE","BOP","TOT","PC_GDP","Q","2009-Q3",-1.58423,
"CZE","BOP","TOT","PC_GDP","Q","2009-Q4",-0.4155356,
"CZE","BOP","TOT","PC_GDP","Q","2010-Q1",-1.082011,
"CZE","BOP","TOT","PC_GDP","Q","2010-Q2",-2.35472,
"CZE","BOP","TOT","PC_GDP","Q","2010-Q3",-7.688023,
"CZE","BOP","TOT","PC_GDP","Q","2010-Q4",-3.167479,
"CZE","BOP","TOT","PC_GDP","Q","2011-Q1",-0.2476158,
"CZE","BOP","TOT","PC_GDP","Q","2011-Q2",-7.663714,
"CZE","BOP","TOT","PC_GDP","Q","2011-Q3",-0.1208698,
"CZE","BOP","TOT","PC_GDP","Q","2011-Q4",-0.4052811,
"CZE","BOP","TOT","PC_GDP","Q","2012-Q1",-2.516591,
"CZE","BOP","TOT","PC_GDP","Q","2012-Q2",-0.3712777,
"CZE","BOP","TOT","PC_GDP","Q","2012-Q3",-1.199133,
"CZE","BOP","TOT","PC_GDP","Q","2012-Q4",-2.150941,
"CZE","BOP","TOT","PC_GDP","Q","2013-Q1",-3.413544,
"CZE","BOP","TOT","PC_GDP","Q","2013-Q2",0.7471688,
"CZE","BOP","TOT","PC_GDP","Q","2013-Q3",0.2775117,
"CZE","BOP","TOT","PC_GDP","Q","2013-Q4",0.2221081,
"CZE","BOP","TOT","PC_GDP","Q","2014-Q1",2.343071,
"CZE","BOP","TOT","PC_GDP","Q","2014-Q2",-1.133479,
"CZE","BOP","TOT","PC_GDP","Q","2014-Q3",-0.9707199,
"CZE","BOP","TOT","PC_GDP","Q","2014-Q4",0.5314718,
"CZE","BOP","TOT","PC_GDP","Q","2015-Q1",0.9750786,
"CZE","BOP","TOT","PC_GDP","Q","2015-Q2",-1.546905,
"CZE","BOP","TOT","PC_GDP","Q","2015-Q3",-0.8147497,
"CZE","BOP","TOT","PC_GDP","Q","2015-Q4",2.351012,
"CZE","BOP","TOT","PC_GDP","Q","2016-Q1",3.9247,
"CZE","BOP","TOT","PC_GDP","Q","2016-Q2",1.849479,
"CZE","BOP","TOT","PC_GDP","Q","2016-Q3",1.418249,
"CZE","BOP","TOT","PC_GDP","Q","2016-Q4",-0.9169778,
"CZE","BOP","TOT","PC_GDP","Q","2017-Q1",1.241913,
"CZE","BOP","TOT","PC_GDP","Q","2017-Q2",1.978306,
"CZE","BOP","TOT","PC_GDP","Q","2017-Q3",0.4439745,
"CZE","BOP","TOT","PC_GDP","Q","2017-Q4",0.6509746,
"CZE","BOP","TOT","PC_GDP","Q","2018-Q1",-3.182533,
"DNK","BOP","TOT","PC_GDP","Q","2005-Q1",4.328243,
"DNK","BOP","TOT","PC_GDP","Q","2005-Q2",4.175103,
"DNK","BOP","TOT","PC_GDP","Q","2005-Q3",4.35044,
"DNK","BOP","TOT","PC_GDP","Q","2005-Q4",3.92181,
"DNK","BOP","TOT","PC_GDP","Q","2006-Q1",4.293816,
"DNK","BOP","TOT","PC_GDP","Q","2006-Q2",2.870835,
"DNK","BOP","TOT","PC_GDP","Q","2006-Q3",3.873008,
"DNK","BOP","TOT","PC_GDP","Q","2006-Q4",2.28172,
"DNK","BOP","TOT","PC_GDP","Q","2007-Q1",0.1733074,
"DNK","BOP","TOT","PC_GDP","Q","2007-Q2",1.630796,
"DNK","BOP","TOT","PC_GDP","Q","2007-Q3",1.430586,
"DNK","BOP","TOT","PC_GDP","Q","2007-Q4",2.513678,
"DNK","BOP","TOT","PC_GDP","Q","2008-Q1",2.181402,
"DNK","BOP","TOT","PC_GDP","Q","2008-Q2",3.733331,
"DNK","BOP","TOT","PC_GDP","Q","2008-Q3",3.816354,
"DNK","BOP","TOT","PC_GDP","Q","2008-Q4",1.915823,
"DNK","BOP","TOT","PC_GDP","Q","2009-Q1",3.312114,
"DNK","BOP","TOT","PC_GDP","Q","2009-Q2",3.813854,
"DNK","BOP","TOT","PC_GDP","Q","2009-Q3",3.042816,
"DNK","BOP","TOT","PC_GDP","Q","2009-Q4",3.69751,
"DNK","BOP","TOT","PC_GDP","Q","2010-Q1",5.810967,
"DNK","BOP","TOT","PC_GDP","Q","2010-Q2",5.741101,
"DNK","BOP","TOT","PC_GDP","Q","2010-Q3",7.390339,
"DNK","BOP","TOT","PC_GDP","Q","2010-Q4",7.269904,
"DNK","BOP","TOT","PC_GDP","Q","2011-Q1",7.711952,
"DNK","BOP","TOT","PC_GDP","Q","2011-Q2",5.859152,
"DNK","BOP","TOT","PC_GDP","Q","2011-Q3",6.285184,
"DNK","BOP","TOT","PC_GDP","Q","2011-Q4",6.48732,
"DNK","BOP","TOT","PC_GDP","Q","2012-Q1",4.987874,
"DNK","BOP","TOT","PC_GDP","Q","2012-Q2",7.016153,
"DNK","BOP","TOT","PC_GDP","Q","2012-Q3",6.955719,
"DNK","BOP","TOT","PC_GDP","Q","2012-Q4",6.14916,
"DNK","BOP","TOT","PC_GDP","Q","2013-Q1",6.948982,
"DNK","BOP","TOT","PC_GDP","Q","2013-Q2",8.005262,
"DNK","BOP","TOT","PC_GDP","Q","2013-Q3",8.075946,
"DNK","BOP","TOT","PC_GDP","Q","2013-Q4",7.997151,
"DNK","BOP","TOT","PC_GDP","Q","2014-Q1",8.077231,
"DNK","BOP","TOT","PC_GDP","Q","2014-Q2",8.036641,
"DNK","BOP","TOT","PC_GDP","Q","2014-Q3",10.01639,
"DNK","BOP","TOT","PC_GDP","Q","2014-Q4",9.536817,
"DNK","BOP","TOT","PC_GDP","Q","2015-Q1",10.4083,
"DNK","BOP","TOT","PC_GDP","Q","2015-Q2",8.093187,
"DNK","BOP","TOT","PC_GDP","Q","2015-Q3",9.479815,
